count,sentiment,date,title
1,1,"Thu, 21 May 2015 07:00:00 GMT",Saudi Arabia and the Shifting Geoeconomics of Oil - Carnegie Endowment for International Peace
2,-1,"Fri, 01 May 2015 07:00:00 GMT",Oil-price shocks and the chemical industry: Preparing for a volatile environment - McKinsey
3,0,"Wed, 04 Mar 2015 08:00:00 GMT",U.S. crude oil storage capacity utilization now up to 60% - EIA
4,-1,"Tue, 25 Aug 2015 07:00:00 GMT",How are low oil prices affecting air fares? - World Economic Forum
5,1,"Thu, 17 Dec 2015 08:00:00 GMT",Palm Oil Mill Data: A Step Towards Transparency - World Resources Institute
6,-1,"Sun, 04 Oct 2015 07:00:00 GMT",West Coast CBR-project legal risks require management - Oil & Gas Journal
7,1,"Tue, 21 Apr 2015 07:00:00 GMT",Hershey traces 94% of global palm oil supply chain - New Hope Network
8,1,"Mon, 27 Jul 2015 07:00:00 GMT","NGOs React to Reports Revealing Modern-Day Slavery in Palm Oil, Seafood Industries - Sustainable Brands"
9,1,"Fri, 18 Sep 2015 07:00:00 GMT",Cargill commits to removing deforestation from supply chain by 2030 - Mongabay.com
10,1,"Wed, 11 Mar 2015 07:00:00 GMT",Know Your Oil: Creating a Global Oil-Climate Index - Carnegie Endowment for International Peace
11,0,"Tue, 06 Oct 2015 20:00:33 GMT",Operational Excellence in Oil and Gas - Deloitte
12,1,"Mon, 16 Mar 2015 07:00:00 GMT","Zero-deforestation pledges and palm oil: a conversation - Forests News, Center for International Forestry Research"
13,1,"Wed, 29 Jul 2015 07:00:00 GMT","Sustainable oil from algae: the technology is ready, but what about the politics? - theconversation.com"
14,1,"Tue, 01 Dec 2015 08:00:00 GMT",Does Turkey really get its oil from Islamic State? - BBC.com
15,0,"Thu, 03 Dec 2015 08:00:00 GMT",Hershey Expands Sustainable Sourcing Efforts with New Deforestation Commitments - Business Wire
16,1,"Sun, 01 Feb 2015 08:00:00 GMT",From late-life operations to decommissioning - McKinsey
17,1,"Fri, 28 Aug 2015 07:00:00 GMT",The many paths towards sustainable palm oil in India - Mongabay.com
18,1,"Tue, 01 Sep 2015 07:00:00 GMT",35K Californians Boycotting Produce Grown With Oil Wastewater - Sustainable Brands
19,1,"Mon, 29 Jun 2015 07:00:00 GMT","Oildex Acquires OpenInvoice™, the Procure-to-Pay Business of Automatic Data Processing, Inc. - Business Wire"
20,1,"Thu, 19 Mar 2015 07:00:00 GMT",Who’s funding palm oil? - Mongabay.com
21,1,"Thu, 28 May 2015 07:00:00 GMT","GAR, Wilmar punish palm oil supplier for clearing rainforest in New Guinea - Mongabay.com"
22,1,"Tue, 21 Apr 2015 07:00:00 GMT",McDonald’s to address deforestation across all commodities it sources - Mongabay.com
23,-1,"Wed, 13 May 2015 07:00:00 GMT",Multinationals cannot prevent palm oil deforestation on their own - The Guardian
24,1,"Tue, 21 Apr 2015 07:00:00 GMT",McDonald's to axe deforestation from its global supply chain - The Guardian
25,1,"Thu, 03 Dec 2015 08:00:00 GMT",Russia: Turkish president benefits from ISIL oil deals - Al Jazeera English
26,1,"Fri, 13 Feb 2015 08:00:00 GMT",Going deforestation-free: can it protect our forests? - The Guardian
27,1,"Fri, 17 Apr 2015 07:00:00 GMT",| Freight Transport in Alaska: The Haul of the Wild - Inbound Logistics
28,1,"Wed, 21 Jan 2015 08:00:00 GMT",The Oxford Princeton Programme Offers New Courses - The Maritime Executive
29,1,"Wed, 17 Jun 2015 07:00:00 GMT",French minister says Nutella spread 'damages environment' - BBC.com
30,1,"Wed, 01 Apr 2015 07:00:00 GMT",MPLX LP: The Midstream Link in Marathon Petroleum’s Chain - Market Realist
31,1,"Sat, 16 May 2015 07:00:00 GMT",International body freezes expansion of palm oil giant - Asia & Pacific - SciDev.Net
32,1,"Thu, 22 Jan 2015 08:00:00 GMT",Wilmar: First palm oil giant to name suppliers - Eco-Business
33,-1,"Thu, 29 Jan 2015 08:00:00 GMT",Rabobank: Cheap crude oil will hit SE Asia’s oil palm fortunes - FoodNavigator-Asia.com
34,-1,"Fri, 19 Jun 2015 07:00:00 GMT",You're really spoiling us: has Ferrero been wrongly accused over Nutella? | Palm oil - The Guardian
35,1,"Mon, 06 Jul 2015 07:00:00 GMT",First Resources the latest palm oil giant to announce zero-deforestation commitment - Eco-Business
36,1,"Fri, 24 Jul 2015 07:00:00 GMT",Proposed: Byco Petroleum to merge with its holding company - The Express Tribune
37,1,"Fri, 03 Jul 2015 07:00:00 GMT",UAE-based oil firm acquires Essar Petroleum East Africa - ETEnergyWorld
38,1,"Wed, 09 Sep 2015 07:00:00 GMT",John Calder heads Supply Chain unit of Baringa Partners - Consultancy.uk
39,-1,"Wed, 09 Sep 2015 07:00:00 GMT","Oil sector 'has lost 65,000 jobs' - BBC"
40,-1,"Thu, 03 Sep 2015 07:00:00 GMT",Disruption in petrol supply persists - DAWN.com
