count,sentiment,date,title
1,-1,"Mon, 28 Mar 2022 07:00:00 GMT",The Real Reasons for High Oil and Gas Prices - NRDC (Natural Resources Defense Council)
2,-1,"Tue, 22 Mar 2022 07:00:00 GMT",The Russian oil supply shock of 2022 - Federal Reserve Bank of Dallas
3,1,"Wed, 08 Jun 2022 07:00:00 GMT",How increasing fuel prices are affecting supply chains - Maersk
4,0,"Fri, 22 Jul 2022 07:00:00 GMT",Public U.S. oil producers saw higher revenues and higher operational costs during Q1 2022 - EIA
5,1,"Thu, 03 Mar 2022 08:00:00 GMT",Crude oil’s meteoric rise to ripple through supply chains - ICIS
6,-1,"Wed, 05 Jan 2022 08:00:00 GMT","Oil, gas upstream recovers from 2020 price crash; default risk declines sharply - S&P Global"
7,0,"Thu, 26 May 2022 07:00:00 GMT",Pursuing Value Beyond Cost Savings in Oil and Gas Supply Chains - BCG
8,1,"Fri, 14 Oct 2022 07:00:00 GMT",Low carbon fuels drive vegetable oil price volatility - CME Group
9,0,"Mon, 31 Jan 2022 08:00:00 GMT",Rethinking global supply chains for the energy transition - World Economic Forum
10,-1,"Tue, 11 Oct 2022 07:00:00 GMT",Who’s to blame for California’s high gas prices? - CalMatters
11,1,"Fri, 22 Apr 2022 07:00:00 GMT",A regenerative supply chain alternative for palm oil: Serendipalm/Dr. Bronner’s - ellenmacarthurfoundation.org
12,1,"Wed, 20 Apr 2022 07:00:00 GMT",Is the US Stockpiling Dirty Oils? - Rocky Mountain Institute
13,0,"Tue, 02 Aug 2022 07:00:00 GMT","U.S. oil refiners are doing well, even though gasoline prices are down - Marketplace"
14,0,"Fri, 25 Mar 2022 07:00:00 GMT","In Texas, calls to boost U.S. oil production after Russian invasion run into hard realities - The Texas Tribune"
15,-1,"Fri, 18 Mar 2022 07:00:00 GMT",Oil and Gas Companies Aren’t to Blame for Pump Prices - NAM
16,1,"Tue, 29 Mar 2022 07:00:00 GMT",Why Are Gasoline Prices So Volatile? - The Equation
17,-1,"Mon, 05 Dec 2022 08:00:00 GMT",Could supply-chain issues derail the energy transition? - McKinsey
18,1,"Tue, 10 May 2022 07:00:00 GMT",Don’t look to oil companies to lower high retail gasoline prices - Federal Reserve Bank of Dallas
19,1,"Tue, 22 Nov 2022 08:00:00 GMT",Rocky Mountain Institute Releases Report on Roadmap to Slash Oil Refining Emissions - Rocky Mountain Institute
20,0,"Thu, 23 Jun 2022 07:00:00 GMT","Oil and Gas Activity Jumps; Costs Escalate, Supply-Chain Delays Worsen - Federal Reserve Bank of Dallas"
21,-1,"Thu, 24 Mar 2022 07:00:00 GMT",Is the Russia-Ukraine conflict causing energy prices to rise? - USAFacts
22,-1,"Thu, 14 Apr 2022 07:00:00 GMT",The practical challenges of an embargo on Russian oil - Clean Energy Wire
23,1,"Mon, 24 Jan 2022 08:00:00 GMT",Bringing transparency to the palm oil derivatives supply chain - GreenBiz
24,1,"Thu, 03 Nov 2022 07:00:00 GMT",Myanmar: Investigation reveals aviation fuel supply chain linked to war crimes - Amnesty International
25,1,"Thu, 01 Dec 2022 08:00:00 GMT",Supply Chain Finance Market Assessment: Nigeria - International Finance Corporation (IFC)
