sentiment	date	title
1	1/1/2010 2:00	Your Next Supply Chain - MIT Sloan Management Review
1	1/1/2010 2:00	Minding the Supply Savings Gaps - MIT Sloan Management Review
-1	1/13/2010 2:00	The Start of Demand Destruction for Oil? - Supply Chain Digest
1	1/17/2010 2:00	Fill 'er up: McFarland oil tanks are a lifeblood - The Capital Times
1	2/3/2010 2:00	Barloworld Logistics confirms Dubai alliance - Logistics Middle East
1	2/11/2010 2:00	Jordans cereals switches to 'sustainable' palm oil - The Ecologist
0	2/18/2010 2:00	Deepening Chinese Stakes in West Africa: The Case of Ghana - The Jamestown Foundation
1	2/22/2010 2:00	Palm oil products and the weekly shop - CBBC Newsround
1	3/8/2010 2:00	Six Industries in Search of Survival - strategy+business Today
1	3/17/2010 2:00	Orangutan plight protest at Nestle in York and Croydon - CBBC Newsround
1	3/18/2010 2:00	Nestlé stars in smear campaign over Indonesian palm oil - The Guardian
1	3/18/2010 2:00	Greenpeace attacks Nestlé with 'Kit Kat' viral - Campaign US
-1	3/19/2010 2:00	Nestlé under fire for destroying orang-utan habitat - The Ecologist
1	4/1/2010 2:00	About 'Planet Money' - NPR
1	4/7/2010 2:00	Unilever backtracks: may purchase palm oil from Sinar Mas - Mongabay.com
0	4/9/2010 2:00	Why fuel crisis hit Uganda - New Vision
-1	5/4/2010 2:00	The truth about Cargill’s palm oil plantations in Borneo - Rainforest Action Network
1	5/17/2010 2:00	Nestlé uses NGO to clean up palm oil supply chain - The Guardian
1	5/17/2010 2:00	Greenpeace Social Media Campaign Forces Nestlé To Stop Using Unsustainable Palm Oil - Fast Company
0	5/19/2010 2:00	Online protest drives Nestlé to environmentally friendly palm oil - The Independent
1	5/27/2010 2:00	"Whole Foods Says No to Krill Oil Sales, Aker Confirms MSC Certification - WholeFoods Magazine"
1	6/4/2010 2:00	Supply Chain Graphic of the Week: Revisiting Peak Oil - Supply Chain Digest
-1	6/24/2010 2:00	The other oil spill - The Economist
1	7/1/2010 2:00	The right way to hedge - McKinsey
1	7/18/2010 2:00	"Experts fear long oil effect on marine life, food chain - Phys.org"
1	7/22/2010 2:00	How Greenpeace changes big business - Mongabay.com
1	9/17/2010 2:00	The Difference Engine: More precious than gold - The Economist
1	9/21/2010 2:00	"America's Biggest Companies, Then and Now (1955 to 2010) - 24/7 Wall St."
1	9/22/2010 2:00	"Amid Tension, China Blocks Vital Exports to Japan (Published 2010) - The New York Times"
1	10/6/2010 2:00	The Nestlé example: how responsible companies could end deforestation - Mongabay.com
-1	10/16/2010 2:00	The abandonment of technology - Resilience
1	10/18/2010 2:00	Walmart takes on Amazon deforestation - Mongabay.com
1	10/21/2010 2:00	"Corporations, conservation, and the green movement - Mongabay.com"
0	10/22/2010 2:00	Toyota Tsusho Establishing Global Integrated Supply Chain for bio-PET - Green Car Congress
1	10/27/2010 2:00	Walmart Goes Out On A Limb: Sustainable Palm Oil By 2015 - Rainforest Action Network
0	11/30/2010 2:00	Singapore: Leadership in Pro-Active Thinking - Oil & Gas Journal
1	1/2/2011 2:00	Circular debt: Why the free market must replace stopgap measures - The Express Tribune
1	1/13/2011 2:00	Hedging as Energy-Management Strategy - IndustryWeek
1	2/3/2011 2:00	Baker Hughes opens Saudi Arabian production plant - Oil and Gas Middle East
1	2/4/2011 2:00	Supply Chain Graphic of the Week: A Short History of Diesel Fuel Prices - Supply Chain Digest
-1	2/9/2011 2:00	Breakthrough? Controversial palm oil company signs rainforest pact - Mongabay.com
1	2/26/2011 2:00	"Stocks focus on jobs, oil, Libya - Feb. 26, 2011 - CNN"
1	3/3/2011 2:00	Aligning Supply Chains with Real Customer Needs - Supply Chain Digest
1	3/11/2011 2:00	What we pay for in a gallon of regular gasoline - EIA
1	3/16/2011 2:00	RENEWABLE ENERGY AND POWER CABLES - Scotland's Marine Atlas: Information for The National Marine Plan - Scottish Government News
1	3/16/2011 2:00	"OIL, GAS, PIPELINES AND GAS STORAGE - Scotland's Marine Atlas: Information for The National Marine Plan - Scottish Government News"
1	3/16/2011 2:00	McDonald’s: Want Sustainable Fries With That Shake? - Fast Company
1	3/18/2011 2:00	Charting the Human Cost of Different Types of Energy - ProPublica
1	3/21/2011 2:00	The Great RSPO Membership Myth: Why Buying from RSPO Members Is Meaningless - Rainforest Action Network
1	4/11/2011 2:00	Rapeseed oil fuels energy revolution - edie.net
1	4/20/2011 2:00	Michelle Obama: Girl Scouts USA Needs a Palm Oil Intervention - Rainforest Action Network
1	4/27/2011 2:00	"GE Gas Power - GE Completes Acquisition of John Wood... - Europétrole, le portail de l ..."
1	5/1/2011 2:00	Gas Development Executive Roundtable - Power Engineering®️
1	5/3/2011 2:00	Take Action: Make Girl Scout Cookies Rainforest Safe - The Understory - Rainforest Action Network
1	5/9/2011 2:00	A new front in the war over palm oil? - Mongabay.com
1	5/9/2011 2:00	GE Opens New Oil & Gas Manufacturing Facility in the United Kingdom - General Electric
1	5/11/2011 2:00	Exclusive: How to get oil and gas business in Iraq - Oil and Gas Middle East
1	5/20/2011 2:00	Gas stations: We're the gouging victims - CNN
1	6/20/2011 2:00	Certified sustainable palm oil derivatives ‘prohibitively expensive’ in US - FoodNavigator-USA.com
1	7/12/2011 2:00	Turning Oil Sands into Pop Cans - TheTyee.ca
1	7/14/2011 2:00	What Do Cargill’s Recent Palm Oil Commitments Mean For Its Customers? - Rainforest Action Network
1	7/21/2011 2:00	Mercedes-AMG brings cylinder deactivation to 5.5L V8; 30% reduction in fuel consumption - Green Car Congress
1	7/28/2011 2:00	What Do Environmentalists And Animal Rights Activists Have In Common? - Rainforest Action Network
0	8/16/2011 2:00	Learning curve continues for offshore wind supply chain - Renewable Energy Magazine
1	9/8/2011 2:00	Illegal Orangutan Skulls Found On Palm Oil Plantations - Rainforest Action Network
1	10/5/2011 2:00	WPSR provides comprehensive crude oil and refined products balances - EIA
1	10/19/2011 2:00	The most powerful companies you’ve never heard of: Glencore - theconversation.com
1	11/1/2011 2:00	Toymaker Hasbro cuts deforestation from its supply chain - Mongabay.com
1	11/5/2011 2:00	Filling up the future - The Economist
1	11/7/2011 2:00	ADM vs. Responsible Palm Oil & Human Rights - Rainforest Action Network
0	11/16/2011 2:00	Puma Ups Environmental P&L by $69m - Environment+Energy Leader
1	11/18/2011 2:00	"A Lonely Voice For Forests, People, And The Climate - Rainforest Action Network"
1	12/2/2011 2:00	It’s time to take a hint from the physical supply chain and optimize the processes - Supply and Demand Chain Executive
1	12/11/2011 2:00	Nato supplies from Karachi: An international fight throws a spanner in the works for the oil tanker business - The Express Tribune
1	12/21/2011 2:00	Is It Time to Rethink Your Manufacturing Strategy? - MIT Sloan Management Review
1	1/5/2012 2:00	Petroleum products supply and distribution through pipelines and trucks - Vanguard
1	1/5/2012 2:00	Dirty fuel - Down To Earth Magazine
1	1/26/2012 2:00	"Husky Energy's SeaRose FPSO Prepares for Drydock at Harland and Wolff, the Builder of the Titanic - gCaptain"
1	2/6/2012 2:00	GAC Transfer Services opens Sri Lanka base - Logistics Middle East
1	2/9/2012 2:00	The new geography of trade - Al Jazeera English
1	2/23/2012 2:00	Monsanto And Cargill: The Thugs Of Big Food - Rainforest Action Network
1	3/1/2012 2:00	Havana urban farming - WWF
1	3/1/2012 2:00	Review of developments in crude oil and product markets over the past two months - EIA
0	3/5/2012 2:00	Bringing growth to Brazilian shores - World Economic Forum
0	3/13/2012 2:00	Outlook is Optimistic for Investment in Global Offshore Oil and Gas - Society of Petroleum Engineers (SPE)
1	3/13/2012 2:00	The $110 Effect: What Higher Gas Prices Could Really Do to the Economy - The Atlantic
1	3/15/2012 2:00	| Nearshoring Latin America: A Closer Look - Inbound Logistics
1	4/9/2012 2:00	Chevron Promotes Two Downstream - CSPDailyNews.com
1	4/12/2012 2:00	A New Chinese Export — Jobs - Time Magazine
1	4/20/2012 2:00	Stephen O’Brien: Slowing global deforestation - GOV.UK
1	5/3/2012 2:00	Understanding Unconventional Oil - Carnegie Endowment for International Peace
1	5/12/2012 2:00	"Brazil, Venezuela, and Mexico: three ways to nationalize oil - The Christian Science Monitor"
1	5/14/2012 2:00	Corporate Social Responsibility in the Supply Chain - IndustryWeek
1	6/4/2012 2:00	NOAA predicts a near-normal 2012 Atlantic hurricane season - EIA
-1	6/5/2012 2:00	The Challenges of Unconventional Oil - Carnegie Endowment for International Peace
1	6/5/2012 2:00	"AWEA, German industry group partners on wind supply chain development - Power Engineering®️"
1	6/7/2012 2:00	Profiled: Top Upstream EPC Contractors 2012 - Oil and Gas Middle East
-1	6/19/2012 2:00	Australia’s growing oil imports are an energy security issue - theconversation.com
1	6/21/2012 2:00	Tareq Al-Wazzan – Biography - Marcopolis
1	6/26/2012 2:00	Energy security: challenges and needs - Sovacool - 2012 - WIREs Energy and Environment - Wiley Online Library
1	7/12/2012 2:00	Shell maintains petrol prices as shortage persists - New Vision
-1	7/23/2012 2:00	Study Says Antarctic Krill Harvesting Doesn’t Negatively Affect Ecosystem - WholeFoods Magazine
1	7/25/2012 2:00	Caltex axes hundreds of jobs - ABC News
1	8/27/2012 2:00	Traceability in the Oil & Gas Industry - Supply and Demand Chain Executive
1	9/4/2012 2:00	Intel Embraces Submerging Servers in Oil - Data Center Knowledge
