Date,Open,High,Low,Close,AdjClose,Volume
2025-2-28, 70.17, 70.17, 69.14, 69.72, 69.72, 143518
2025-2-27, 68.82, 70.54, 68.61, 70.35, 70.35, 255601
2025-2-26, 69.11, 69.28, 68.36, 68.62, 68.62, 255601
2025-2-25, 70.92, 71.26, 68.68, 68.93, 68.93, 267310
2025-2-24, 69.80, 70.94, 69.80, 70.70, 70.70, 205468
2025-2-21, 72.58, 72.77, 70.17, 70.40, 70.40, 268470
2025-2-20, 72.18, 73.25, 71.85, 72.57, 72.57, 240060
2025-2-19, 71.78, 73.04, 71.71, 72.25, 72.25, 69012
2025-2-18, 70.70, 72.07, 70.12, 71.85, 71.85, 130937
2025-2-17, 70.70, 71.48, 70.12, 71.39, 71.39, 207719
2025-2-14, 71.52, 72.02, 70.52, 70.74, 70.74, 207719
2025-2-13, 71.24, 71.60, 70.22, 71.29, 71.29, 278197
2025-2-12, 73.20, 73.22, 71.17, 71.37, 71.37, 318123
2025-2-11, 72.49, 73.68, 72.31, 73.32, 73.32, 266819
2025-2-10, 71.00, 72.54, 70.84, 72.32, 72.32, 255941
2025-2-7, 70.56, 71.41, 70.47, 71.00, 71.00, 273766
2025-2-6, 71.18, 71.85, 70.43, 70.61, 70.61, 299037
2025-2-5, 72.76, 72.97, 70.96, 71.03, 71.03, 289902
2025-2-4, 72.35, 73.35, 70.67, 72.70, 72.70, 452961
2025-2-3, 74.14, 75.18, 72.05, 73.16, 73.16, 517853
2025-1-31, 73.20, 73.84, 71.94, 72.53, 72.53, 376335
2025-1-30, 73.00, 73.84, 72.02, 72.73, 72.73, 336475
2025-1-29, 73.95, 74.08, 72.33, 72.62, 72.62, 312733
2025-1-28, 73.15, 74.31, 72.93, 73.77, 73.77, 326075
2025-1-27, 74.54, 75.15, 72.38, 73.17, 73.17, 334418
2025-1-24, 74.30, 75.21, 74.01, 74.66, 74.66, 319679
2025-1-23, 75.39, 76.00, 74.14, 74.62, 74.62, 350688
2025-1-22, 75.88, 76.45, 75.28, 75.44, 75.44, 315333
2025-1-21, 78.19, 78.47, 75.49, 75.89, 75.89, 568807
2025-1-17, 78.75, 79.44, 77.76, 77.88, 77.88, 112409
2025-1-16, 80.40, 80.59, 77.87, 78.68, 78.68, 159948
2025-1-15, 78.03, 80.77, 77.24, 80.04, 80.04, 321422
2025-1-14, 78.82, 79.09, 77.41, 77.50, 77.50, 326729
2025-1-13, 76.54, 79.27, 76.54, 78.82, 78.82, 460942
2025-1-10, 74.29, 77.86, 74.02, 76.57, 76.57, 478432
2025-1-9, 73.32, 74.32, 72.84, 73.92, 73.92, 213421
2025-1-8, 74.52, 75.29, 73.16, 73.32, 73.32, 328617
2025-1-7, 73.44, 74.53, 73.11, 74.25, 74.25, 277328
2025-1-6, 74.05, 74.99, 73.20, 73.56, 73.56, 306042
2025-1-3, 73.13, 74.35, 72.70, 73.96, 73.96, 296040
2025-1-2, 71.85, 73.73, 71.79, 73.13, 73.13, 306498
2024-12-31, 71.15, 72.02, 70.87, 71.72, 71.72, 151155
2024-12-30, 70.42, 71.56, 70.12, 70.99, 70.99, 199296
2024-12-27, 69.68, 70.75, 69.44, 70.60, 70.60, 172641
2024-12-26, 70.20, 70.75, 69.33, 69.62, 69.62, 144877
2024-12-24, 69.56, 70.43, 69.36, 70.10, 70.10, 122602
2024-12-23, 69.40, 69.94, 68.59, 69.24, 69.24, 188843
2024-12-20, 69.23, 69.85, 68.42, 69.46, 69.46, 231592
2024-12-19, 70.14, 71.26, 69.70, 69.91, 69.91, 291660
2024-12-18, 70.22, 71.38, 69.99, 70.58, 70.58, 99386
2024-12-17, 70.61, 70.92, 69.18, 70.08, 70.08, 99604
2024-12-16, 71.44, 71.44, 70.37, 70.71, 70.71, 204296
2024-12-13, 70.06, 71.42, 69.87, 71.29, 71.29, 230429
2024-12-12, 70.43, 70.72, 69.14, 70.02, 70.02, 326046
2024-12-11, 68.50, 70.53, 68.44, 70.29, 70.29, 335892
2024-12-10, 68.19, 69.06, 67.72, 68.59, 68.59, 286003
2024-12-9, 67.15, 68.88, 67.08, 68.37, 68.37, 297085
2024-12-6, 68.44, 68.49, 66.98, 67.20, 67.20, 341593
2024-12-5, 68.74, 69.16, 67.98, 68.30, 68.30, 286701
2024-12-4, 70.02, 70.51, 68.49, 68.54, 68.54, 325636
2024-12-3, 68.16, 70.23, 67.91, 69.94, 69.94, 303752
2024-12-2, 68.00, 69.11, 67.71, 68.10, 68.10, 264883
2024-11-29, 68.77, 69.69, 67.87, 68.00, 68.00, 291408
2024-11-27, 68.91, 69.37, 68.18, 68.72, 68.72, 227215
2024-11-26, 69.08, 70.30, 68.05, 68.77, 68.77, 292138
2024-11-25, 71.44, 71.48, 68.74, 68.94, 68.94, 380922
2024-11-22, 70.18, 71.51, 69.29, 71.24, 71.24, 408207
2024-11-21, 69.04, 70.38, 68.86, 70.10, 70.10, 283850
2024-11-20, 69.55, 70.15, 68.75, 68.87, 68.87, 235637
2024-11-19, 69.01, 69.69, 68.45, 69.39, 69.39, 89360
2024-11-18, 66.86, 69.39, 66.61, 69.16, 69.16, 110375
2024-11-15, 68.62, 68.69, 66.82, 67.02, 67.02, 205235
2024-11-14, 68.13, 69.39, 67.92, 68.70, 68.70, 232270
2024-11-13, 67.98, 68.86, 66.94, 68.43, 68.43, 386027
2024-11-12, 68.15, 69.13, 67.75, 68.12, 68.12, 286926
2024-11-11, 70.25, 70.56, 67.92, 68.04, 68.04, 364506
2024-11-8, 72.21, 72.25, 69.99, 70.38, 70.38, 362038
2024-11-7, 71.87, 72.88, 70.66, 72.36, 72.36, 353595
2024-11-6, 72.02, 72.63, 69.74, 71.69, 71.69, 388265
2024-11-5, 71.62, 72.67, 71.29, 71.99, 71.99, 247311
2024-11-4, 70.29, 71.81, 70.25, 71.47, 71.47, 286947
2024-11-1, 70.44, 71.45, 69.32, 69.49, 69.49, 320572
2024-10-31, 69.10, 70.81, 68.30, 69.26, 69.26, 311055
2024-10-30, 67.47, 69.17, 67.28, 68.61, 68.61, 284795
2024-10-29, 68.02, 68.52, 66.72, 67.21, 67.21, 291929
2024-10-28, 68.98, 69.00, 66.92, 67.38, 67.38, 419623
2024-10-25, 70.33, 71.92, 69.96, 71.78, 71.78, 287189
2024-10-24, 71.02, 72.34, 69.77, 70.19, 70.19, 286571
2024-10-23, 71.35, 71.72, 70.13, 70.77, 70.77, 293835
2024-10-22, 70.49, 72.66, 70.05, 72.09, 72.09, 330456
2024-10-21, 69.46, 71.03, 69.00, 70.56, 70.56, 92584
2024-10-18, 70.75, 71.23, 68.69, 69.22, 69.22, 95768
2024-10-17, 70.68, 71.11, 69.44, 70.67, 70.67, 188161
2024-10-16, 70.99, 71.31, 69.64, 70.39, 70.39, 222437
2024-10-15, 71.51, 72.12, 69.71, 70.58, 70.58, 328738
2024-10-14, 75.05, 75.08, 71.81, 73.83, 73.83, 273455
2024-10-11, 75.74, 76.04, 74.53, 75.56, 75.56, 315302
2024-10-10, 73.39, 76.24, 73.26, 75.85, 75.85, 321453
