date,AMTMNO,BOGMBASE,CPIAUCSL,GDPC1,HOUST,INDPRO,NCBCMDPMVCE,PCEC96,PPIACO,UNRATE
2010-01-01,393694.0,1995.0,217.488,16582.71,614.0,89.19,39.55,11156.8,181.9,9.8
2010-01-02,393710.806,1998.877,217.481,16584.493,613.677,89.2,39.596,11158.148,181.871,9.8
2010-01-03,393727.613,2002.755,217.475,16586.276,613.355,89.21,39.642,11159.497,181.842,9.8
2010-01-04,393744.419,2006.632,217.468,16588.058,613.032,89.22,39.689,11160.845,181.813,9.8
2010-01-05,393761.226,2010.51,217.461,16589.841,612.71,89.23,39.735,11162.194,181.784,9.8
2010-01-06,393778.032,2014.387,217.455,16591.624,612.387,89.24,39.782,11163.542,181.755,9.8
2010-01-07,393794.839,2018.265,217.448,16593.407,612.065,89.251,39.828,11164.89,181.726,9.8
2010-01-08,393811.645,2022.142,217.441,16595.19,611.742,89.261,39.875,11166.239,181.697,9.8
2010-01-09,393828.452,2026.019,217.435,16596.972,611.419,89.271,39.921,11167.587,181.668,9.8
2010-01-10,393845.258,2029.897,217.428,16598.755,611.097,89.281,39.968,11168.935,181.639,9.8
2010-01-11,393862.065,2033.774,217.421,16600.538,610.774,89.291,40.014,11170.284,181.61,9.8
2010-01-12,393878.871,2037.652,217.415,16602.321,610.452,89.301,40.061,11171.632,181.581,9.8
2010-01-13,393895.677,2041.529,217.408,16604.104,610.129,89.312,40.107,11172.981,181.552,9.8
2010-01-14,393912.484,2045.406,217.401,16605.886,609.806,89.322,40.154,11174.329,181.523,9.8
2010-01-15,393929.29,2049.284,217.395,16607.669,609.484,89.332,40.2,11175.677,181.494,9.8
2010-01-16,393946.097,2053.161,217.388,16609.452,609.161,89.342,40.247,11177.026,181.465,9.8
2010-01-17,393962.903,2057.039,217.381,16611.235,608.839,89.352,40.293,11178.374,181.435,9.8
2010-01-18,393979.71,2060.916,217.374,16613.018,608.516,89.362,40.34,11179.723,181.406,9.8
2010-01-19,393996.516,2064.794,217.368,16614.8,608.194,89.373,40.386,11181.071,181.377,9.8
2010-01-20,394013.323,2068.671,217.361,16616.583,607.871,89.383,40.433,11182.419,181.348,9.8
2010-01-21,394030.129,2072.548,217.354,16618.366,607.548,89.393,40.479,11183.768,181.319,9.8
2010-01-22,394046.935,2076.426,217.348,16620.149,607.226,89.403,40.525,11185.116,181.29,9.8
2010-01-23,394063.742,2080.303,217.341,16621.932,606.903,89.413,40.572,11186.465,181.261,9.8
2010-01-24,394080.548,2084.181,217.334,16623.714,606.581,89.423,40.618,11187.813,181.232,9.8
2010-01-25,394097.355,2088.058,217.328,16625.497,606.258,89.433,40.665,11189.161,181.203,9.8
2010-01-26,394114.161,2091.935,217.321,16627.28,605.935,89.444,40.711,11190.51,181.174,9.8
2010-01-27,394130.968,2095.813,217.314,16629.063,605.613,89.454,40.758,11191.858,181.145,9.8
2010-01-28,394147.774,2099.69,217.308,16630.846,605.29,89.464,40.804,11193.206,181.116,9.8
2010-01-29,394164.581,2103.568,217.301,16632.628,604.968,89.474,40.851,11194.555,181.087,9.8
2010-01-30,394181.387,2107.445,217.294,16634.411,604.645,89.484,40.897,11195.903,181.058,9.8
2010-01-31,394198.194,2111.323,217.288,16636.194,604.323,89.494,40.944,11197.252,181.029,9.8
2010-02-01,394215.0,2115.2,217.281,16637.977,604.0,89.505,40.99,11198.6,181.0,9.8
2010-02-02,394445.143,2113.929,217.284,16639.76,605.143,89.527,41.037,11200.511,181.082,9.804
2010-02-03,394675.286,2112.657,217.286,16641.542,606.286,89.55,41.083,11202.421,181.164,9.807
2010-02-04,394905.429,2111.386,217.289,16643.325,607.429,89.572,41.13,11204.332,181.246,9.811
2010-02-05,395135.571,2110.114,217.291,16645.108,608.571,89.595,41.176,11206.243,181.329,9.814
2010-02-06,395365.714,2108.843,217.294,16646.891,609.714,89.617,41.223,11208.154,181.411,9.818
2010-02-07,395595.857,2107.571,217.296,16648.674,610.857,89.64,41.269,11210.064,181.493,9.821
2010-02-08,395826.0,2106.3,217.299,16650.456,612.0,89.662,41.316,11211.975,181.575,9.825
2010-02-09,396056.143,2105.029,217.302,16652.239,613.143,89.685,41.362,11213.886,181.657,9.829
2010-02-10,396286.286,2103.757,217.304,16654.022,614.286,89.707,41.408,11215.796,181.739,9.832
2010-02-11,396516.429,2102.486,217.307,16655.805,615.429,89.73,41.455,11217.707,181.821,9.836
2010-02-12,396746.571,2101.214,217.309,16657.588,616.571,89.752,41.501,11219.618,181.904,9.839
2010-02-13,396976.714,2099.943,217.312,16659.37,617.714,89.775,41.548,11221.529,181.986,9.843
2010-02-14,397206.857,2098.671,217.314,16661.153,618.857,89.798,41.594,11223.439,182.068,9.846
2010-02-15,397437.0,2097.4,217.317,16662.936,620.0,89.82,41.641,11225.35,182.15,9.85
2010-02-16,397667.143,2096.129,217.32,16664.719,621.143,89.843,41.687,11227.261,182.232,9.854
2010-02-17,397897.286,2094.857,217.322,16666.502,622.286,89.865,41.734,11229.171,182.314,9.857
2010-02-18,398127.429,2093.586,217.325,16668.284,623.429,89.888,41.78,11231.082,182.396,9.861
2010-02-19,398357.571,2092.314,217.327,16670.067,624.571,89.91,41.827,11232.993,182.479,9.864
2010-02-20,398587.714,2091.043,217.33,16671.85,625.714,89.933,41.873,11234.904,182.561,9.868
2010-02-21,398817.857,2089.771,217.332,16673.633,626.857,89.955,41.92,11236.814,182.643,9.871
2010-02-22,399048.0,2088.5,217.335,16675.416,628.0,89.978,41.966,11238.725,182.725,9.875
2010-02-23,399278.143,2087.229,217.338,16677.198,629.143,90.0,42.013,11240.636,182.807,9.879
2010-02-24,399508.286,2085.957,217.34,16678.981,630.286,90.023,42.059,11242.546,182.889,9.882
2010-02-25,399738.429,2084.686,217.343,16680.764,631.429,90.045,42.106,11244.457,182.971,9.886
2010-02-26,399968.571,2083.414,217.345,16682.547,632.571,90.068,42.152,11246.368,183.054,9.889
2010-02-27,400198.714,2082.143,217.348,16684.33,633.714,90.091,42.199,11248.279,183.136,9.893
2010-02-28,400428.857,2080.871,217.35,16686.112,634.857,90.113,42.245,11250.189,183.218,9.896
2010-03-01,400659.0,2079.6,217.353,16687.895,636.0,90.136,42.291,11252.1,183.3,9.9
2010-03-02,400664.903,2077.497,217.355,16689.678,637.645,90.146,42.338,11252.842,183.335,9.9
2010-03-03,400670.806,2075.394,217.356,16691.461,639.29,90.157,42.384,11253.584,183.371,9.9
2010-03-04,400676.71,2073.29,217.358,16693.244,640.935,90.167,42.431,11254.326,183.406,9.9
2010-03-05,400682.613,2071.187,217.359,16695.026,642.581,90.178,42.477,11255.068,183.442,9.9
2010-03-06,400688.516,2069.084,217.361,16696.809,644.226,90.188,42.524,11255.81,183.477,9.9
2010-03-07,400694.419,2066.981,217.363,16698.592,645.871,90.199,42.57,11256.552,183.513,9.9
2010-03-08,400700.323,2064.877,217.364,16700.375,647.516,90.209,42.617,11257.294,183.548,9.9
2010-03-09,400706.226,2062.774,217.366,16702.158,649.161,90.219,42.663,11258.035,183.584,9.9
2010-03-10,400712.129,2060.671,217.368,16703.94,650.806,90.23,42.71,11258.777,183.619,9.9
2010-03-11,400718.032,2058.568,217.369,16705.723,652.452,90.24,42.756,11259.519,183.655,9.9
2010-03-12,400723.935,2056.465,217.371,16707.506,654.097,90.251,42.803,11260.261,183.69,9.9
2010-03-13,400729.839,2054.361,217.372,16709.289,655.742,90.261,42.849,11261.003,183.726,9.9
